Date,Open,High,Low,Close,Adj Close,Volume
2014-10-06,93.500000,93.650002,92.790001,93.370003,82.440781,3733100
2014-10-07,93.290001,93.540001,92.900002,93.099998,82.202377,6799900
2014-10-08,92.949997,93.940002,92.760002,93.940002,82.944046,5715200
2014-10-09,95.349998,96.220001,93.559998,93.570000,82.617363,9094000
2014-10-10,93.660004,95.900002,93.660004,94.650002,83.570961,8350900
2014-10-13,94.709999,95.449997,93.830002,93.940002,82.944046,5194500
2014-10-14,94.459999,94.519997,92.589996,93.010002,82.122910,5869000
2014-10-15,91.839996,92.559998,90.760002,91.769997,81.028046,8580700
2014-10-16,90.269997,91.029999,89.820000,90.790001,80.162788,7226400
2014-10-17,91.089996,92.000000,90.550003,91.510002,80.798500,6260100
2014-10-20,91.660004,93.720001,91.589996,93.550003,82.599693,6883100
2014-10-21,93.260002,93.959999,92.169998,93.730003,82.758644,6982200
2014-10-22,93.849998,95.019997,93.639999,94.459999,83.403191,5148200
2014-10-23,94.940002,95.320000,93.500000,93.760002,82.785133,5805000
2014-10-24,93.760002,94.790001,93.550003,94.599998,83.526779,4005800
2014-10-27,94.480003,95.239998,94.309998,94.620003,83.544472,3135500
2014-10-28,94.690002,95.260002,94.300003,95.260002,84.109543,3368300
2014-10-29,95.500000,95.500000,94.070000,94.690002,83.606255,3274300
2014-10-30,94.449997,96.099998,94.150002,95.650002,84.453903,3567200
2014-10-31,96.410004,96.739998,95.580002,96.169998,84.913017,5259300
2014-11-03,95.940002,96.430000,95.610001,95.830002,84.612831,4330400
2014-11-04,96.139999,96.839996,95.989998,96.730003,85.407471,3944500
2014-11-05,97.519997,97.860001,96.370003,96.889999,85.548744,3804100
2014-11-06,96.959999,97.199997,96.510002,96.809998,85.478111,4198500
2014-11-07,96.809998,96.809998,95.500000,96.800003,85.469284,5273400
2014-11-10,96.400002,96.989998,96.160004,96.970001,85.619392,3345500
2014-11-11,96.959999,97.379997,96.639999,96.699997,85.380981,3263600
2014-11-12,96.699997,97.389999,96.220001,97.160004,85.787148,3247500
2014-11-13,96.529999,98.959999,96.529999,98.540001,87.005608,6257900
2014-11-14,98.489998,98.550003,97.360001,97.720001,86.281578,4335400
2014-11-17,96.849998,98.550003,96.849998,98.419998,86.899651,3745200
2014-11-18,98.419998,98.500000,97.860001,97.940002,86.475853,3908600
2014-11-19,97.940002,98.440002,97.750000,98.410004,86.890831,3396800
2014-11-20,98.010002,98.620003,97.870003,98.059998,86.581787,3727100
2014-11-21,99.029999,99.129997,98.239998,98.889999,87.314644,5259800
2014-11-24,98.879997,99.250000,98.489998,98.680000,87.129204,4540700
2014-11-25,98.510002,99.190002,98.500000,98.930000,87.349960,3640900
2014-11-26,99.250000,99.639999,99.010002,99.349998,87.720802,2685600
2014-11-28,99.720001,100.699997,99.519997,100.099998,88.383003,2504300
2014-12-01,98.559998,100.150002,98.489998,99.669998,88.003326,3658500
2014-12-02,99.980003,100.570000,99.610001,100.389999,88.639076,3888000
2014-12-03,99.699997,99.699997,98.180000,98.320000,87.381493,4943800
2014-12-04,98.040001,98.279999,97.400002,97.750000,86.874901,4582600
2014-12-05,97.620003,97.930000,97.199997,97.760002,86.883781,5308200
2014-12-08,97.870003,98.110001,97.500000,97.779999,86.901558,4233800
2014-12-09,97.220001,97.750000,96.209999,97.129997,86.323891,3459700
2014-12-10,97.230003,97.599998,96.070000,96.180000,85.479561,3972300
2014-12-11,96.300003,97.000000,96.010002,96.290001,85.577339,4784700
2014-12-12,95.660004,96.769997,94.709999,94.739998,84.199776,3935900
2014-12-15,95.129997,95.720001,93.860001,94.139999,83.666534,4555200
2014-12-16,93.540001,94.970001,92.529999,92.589996,82.288979,6962800
2014-12-17,92.790001,94.099998,92.430000,93.720001,83.293259,6189200
2014-12-18,94.709999,95.410004,93.739998,95.360001,84.750793,8122800
2014-12-19,95.300003,96.199997,95.209999,95.440002,84.821907,7678700
2014-12-22,95.790001,96.660004,95.470001,96.620003,85.870621,3623000
2014-12-23,97.239998,97.500000,96.860001,97.360001,86.528297,3065800
2014-12-24,97.500000,97.889999,97.050003,97.089996,86.288338,1604100
2014-12-26,97.120003,97.570000,96.970001,97.050003,86.252800,1492700
2014-12-29,96.620003,97.099998,96.019997,96.730003,85.968384,2453800
2014-12-30,96.209999,96.779999,95.919998,95.959999,85.284058,2134400
2014-12-31,95.669998,95.980003,94.540001,94.559998,84.039803,3727400
2015-01-02,94.930000,95.339996,94.050003,94.440002,83.933159,3545700
2015-01-05,94.449997,95.050003,93.720001,93.730003,83.302155,6441000
2015-01-06,94.080002,94.620003,92.940002,93.019997,82.671112,6195000
2015-01-07,95.129997,96.230003,94.430000,95.739998,85.088531,6526300
2015-01-08,96.739998,97.910004,96.680000,97.480003,86.634941,7131600
2015-01-09,97.550003,97.669998,96.589996,96.820000,86.048370,4051400
2015-01-12,96.949997,97.339996,96.190002,96.419998,85.692856,4187600
2015-01-13,96.669998,97.489998,95.820000,96.349998,85.630669,5371300
2015-01-14,95.459999,96.800003,95.459999,96.669998,85.915047,5127800
2015-01-15,97.139999,97.320000,96.379997,96.669998,85.915047,4424000
2015-01-16,96.660004,97.430000,96.339996,97.290001,86.466072,4404400
2015-01-20,98.330002,98.330002,96.830002,97.510002,86.661606,6666200
2015-01-21,97.019997,98.220001,96.599998,97.400002,86.563850,5031100
2015-01-22,97.480003,99.000000,97.040001,98.900002,87.896965,7620400
2015-01-23,98.360001,98.989998,98.099998,98.529999,87.568130,4847100
2015-01-26,98.190002,98.949997,97.669998,98.690002,87.710335,4298700
2015-01-27,97.650002,98.050003,95.250000,96.720001,85.959480,7365300
2015-01-28,97.209999,97.769997,95.660004,95.720001,85.070755,6280100
2015-01-29,95.720001,96.480003,94.870003,96.029999,85.346260,4600300
2015-01-30,95.110001,95.330002,93.559998,93.779999,83.346565,7741500
2015-02-02,93.860001,95.440002,93.599998,95.330002,84.724144,6889500
2015-02-03,96.019997,96.559998,95.580002,96.199997,85.497345,5086700
2015-02-04,96.029999,97.269997,96.029999,96.599998,85.852852,5064700
2015-02-05,97.230003,97.230003,96.410004,96.610001,85.861725,4466200
2015-02-06,96.680000,97.059998,96.349998,96.709999,85.950607,4572000
2015-02-09,96.580002,96.910004,95.589996,95.970001,85.292923,4217100
2015-02-10,96.730003,98.099998,96.379997,97.989998,87.088196,6797400
2015-02-11,100.050003,100.760002,99.199997,100.400002,89.230087,9736400
2015-02-12,100.050003,100.500000,99.379997,100.269997,89.114555,9062300
2015-02-13,100.150002,100.150002,98.940002,99.129997,88.101372,5643000
2015-02-17,98.449997,98.709999,98.000000,98.360001,87.417053,5877800
2015-02-18,98.239998,99.489998,98.160004,99.330002,88.279129,3469500
2015-02-19,99.300003,99.599998,98.529999,98.720001,87.736977,4186300
2015-02-20,98.220001,99.070000,97.830002,99.059998,88.039146,3945500
2015-02-23,99.160004,99.480003,98.739998,99.449997,88.385773,3075700
2015-02-24,99.449997,99.970001,99.139999,99.580002,88.501305,3381600
2015-02-25,99.680000,99.820000,98.910004,99.500000,88.430214,3366100
2015-02-26,99.150002,99.360001,98.980003,99.070000,88.048042,5722000
2015-02-27,99.220001,99.370003,98.970001,98.980003,87.968056,6461700
2015-03-02,98.980003,99.300003,98.730003,99.000000,87.985832,3613600
2015-03-03,98.820000,98.949997,98.120003,98.400002,87.452599,4148100
2015-03-04,97.720001,97.849998,97.120003,97.360001,87.108131,3884200
2015-03-05,97.699997,97.830002,97.209999,97.230003,86.991821,3537200
2015-03-06,97.000000,97.150002,95.940002,96.169998,86.043434,6466100
2015-03-09,96.000000,96.500000,95.970001,96.040001,85.927124,4810500
2015-03-10,95.379997,95.599998,94.430000,94.430000,84.486664,5375900
2015-03-11,94.459999,94.629997,93.449997,93.629997,83.770905,4637300
2015-03-12,93.959999,95.760002,93.839996,95.709999,85.631866,4455000
2015-03-13,94.889999,95.589996,93.940002,94.320000,84.388245,4703800
2015-03-16,94.559998,95.529999,94.480003,95.449997,85.399261,4687400
2015-03-17,94.940002,95.290001,94.059998,94.129997,84.218224,4505500
2015-03-18,93.989998,95.050003,92.239998,94.639999,84.674530,7684400
2015-03-19,94.430000,94.580002,93.699997,94.099998,84.191414,4386400
2015-03-20,94.199997,95.480003,94.099998,95.339996,85.300827,8810400
2015-03-23,95.470001,96.120003,95.339996,95.849998,85.757118,4729500
2015-03-24,96.709999,97.160004,95.809998,95.860001,85.766075,7118600
2015-03-25,96.430000,96.440002,95.230003,95.260002,85.229263,4965600
2015-03-26,95.250000,95.980003,94.790001,95.629997,85.560295,5077700
2015-03-27,95.279999,96.160004,95.180000,95.949997,85.846588,4243900
2015-03-30,96.279999,96.680000,95.550003,96.519997,86.356590,5021200
2015-03-31,96.220001,96.589996,95.620003,95.620003,85.551369,4397600
2015-04-01,95.160004,95.279999,94.169998,95.089996,85.077148,4226500
2015-04-02,94.779999,95.930000,94.779999,95.690002,85.613983,3586200
2015-04-06,95.529999,97.089996,95.529999,96.480003,86.320786,4861800
2015-04-07,96.669998,96.870003,96.190002,96.209999,86.079224,3376600
2015-04-08,96.099998,96.599998,95.690002,96.029999,85.918175,3879100
2015-04-09,95.830002,96.629997,95.639999,96.349998,86.204498,3487000
2015-04-10,96.279999,96.519997,96.150002,96.199997,86.070267,2704900
2015-04-13,96.010002,96.279999,95.480003,95.529999,85.470833,3772900
2015-04-14,95.669998,96.800003,95.389999,96.489998,86.329735,4494000
2015-04-15,96.739998,97.300003,96.500000,96.629997,86.455002,3508700
2015-04-16,96.529999,96.919998,96.209999,96.449997,86.293945,3699000
2015-04-17,95.839996,96.120003,95.360001,95.809998,85.721329,4991600
2015-04-20,96.260002,96.940002,96.239998,96.500000,86.338692,4468600
2015-04-21,97.199997,97.559998,96.540001,96.779999,86.589203,4184300
2015-04-22,97.250000,97.639999,96.680000,97.279999,87.036545,5293600
2015-04-23,96.669998,97.440002,95.449997,95.730003,85.649757,7827700
2015-04-24,95.709999,95.709999,94.510002,95.169998,85.148735,5381700
2015-04-27,95.169998,95.269997,94.459999,94.489998,84.540344,5348500
2015-04-28,94.739998,94.769997,94.019997,94.419998,84.477707,5065900
2015-04-29,94.220001,94.470001,93.260002,94.379997,84.441933,4963600
2015-04-30,94.160004,95.330002,93.760002,95.120003,85.103989,6714400
2015-05-01,95.160004,95.620003,94.760002,95.559998,85.497673,4622300
2015-05-04,95.449997,96.250000,95.260002,95.949997,85.846588,3729400
2015-05-05,96.019997,96.169998,95.239998,95.419998,85.372391,3502800
2015-05-06,95.919998,95.970001,94.949997,95.480003,85.426086,3376400
2015-05-07,95.150002,95.669998,94.949997,95.150002,85.130844,3157400
2015-05-08,95.910004,96.610001,95.550003,96.550003,86.383423,5231600
2015-05-11,96.269997,97.099998,96.120003,96.349998,86.204498,3070300
2015-05-12,96.000000,96.379997,95.000000,96.199997,86.070267,4229900
2015-05-13,96.269997,96.959999,96.169998,96.410004,86.258179,3739800
2015-05-14,96.839996,98.000000,96.739998,98.000000,87.680748,4018500
2015-05-15,97.830002,98.440002,97.750000,98.220001,87.877586,3809500
2015-05-18,98.010002,98.330002,97.669998,98.050003,87.725479,3316900
2015-05-19,97.940002,98.339996,97.570000,97.949997,87.635994,3323900
2015-05-20,98.000000,98.330002,97.680000,97.690002,87.403389,2789800
2015-05-21,97.400002,97.790001,96.900002,97.199997,86.964973,3406100
2015-05-22,97.209999,97.209999,96.230003,96.260002,86.123962,3311100
2015-05-26,96.059998,96.279999,95.500000,95.790001,85.703461,3806200
2015-05-27,95.989998,96.580002,95.709999,96.379997,86.231323,4028200
2015-05-28,96.550003,97.389999,95.930000,97.059998,86.839714,5321700
2015-05-29,97.209999,97.239998,95.940002,96.430000,86.276054,5597300
2015-06-01,96.589996,96.589996,95.639999,95.970001,85.864479,4407000
2015-06-02,95.629997,96.349998,95.370003,96.050003,85.936066,3959800
2015-06-03,95.820000,96.000000,95.150002,95.300003,85.893265,3248800
2015-06-04,95.010002,95.620003,94.120003,94.139999,84.847755,4793700
2015-06-05,93.870003,93.980003,92.900002,93.050003,83.865372,4741200
2015-06-08,93.300003,93.410004,92.739998,92.839996,83.676071,4442500
2015-06-09,92.800003,93.320000,92.720001,93.070000,83.883377,3411900
2015-06-10,93.370003,94.080002,93.129997,93.690002,84.442177,3892000
2015-06-11,94.000000,94.290001,93.889999,94.089996,84.802696,3020100
2015-06-12,93.959999,94.070000,93.440002,93.739998,84.487251,3748500
2015-06-15,93.269997,93.419998,92.540001,92.639999,83.495811,7203000
2015-06-16,92.769997,93.709999,92.580002,93.550003,84.316010,2728700
2015-06-17,93.570000,94.269997,93.250000,94.050003,84.766647,3108900
2015-06-18,94.330002,95.519997,94.120003,95.230003,85.830177,4035400
2015-06-19,94.879997,95.309998,94.720001,94.860001,85.496696,5463300
2015-06-22,95.000000,95.879997,95.000000,95.599998,86.163643,3626700
2015-06-23,95.610001,95.739998,95.139999,95.599998,86.163643,3679900
2015-06-24,95.260002,95.769997,95.260002,95.290001,85.884239,4742000
2015-06-25,95.750000,95.989998,94.830002,94.830002,85.469650,4426400
2015-06-26,95.099998,95.449997,94.830002,94.910004,85.541740,5119600
2015-06-29,94.400002,94.760002,93.620003,93.690002,84.442177,3625600
2015-06-30,94.510002,94.699997,93.260002,93.339996,84.126740,4188500
2015-07-01,93.800003,94.570000,93.550003,94.519997,85.190239,4808600
2015-07-02,94.599998,94.980003,94.209999,94.660004,85.316444,3209600
2015-07-06,94.040001,94.919998,94.010002,94.400002,85.082100,4952400
2015-07-07,94.779999,96.660004,94.540001,96.400002,86.884674,7724800
2015-07-08,95.709999,96.279999,95.510002,95.610001,86.172676,6055100
2015-07-09,97.339996,97.349998,94.080002,94.589996,85.253342,9932300
2015-07-10,95.419998,96.269997,95.010002,95.550003,86.118607,7233600
2015-07-13,96.300003,97.489998,96.160004,97.220001,87.623749,7263800
2015-07-14,97.400002,97.480003,96.730003,97.129997,87.542633,4479400
2015-07-15,97.070000,97.339996,96.320000,96.349998,86.839607,5464700
2015-07-16,97.089996,97.339996,96.870003,96.900002,87.335327,4253000
2015-07-17,96.540001,96.820000,96.050003,96.779999,87.227180,3573300
2015-07-20,97.080002,97.480003,96.800003,97.309998,87.704872,3391800
2015-07-21,97.480003,97.480003,96.839996,96.930000,87.362373,3065400
2015-07-22,97.019997,97.480003,96.800003,97.169998,87.578690,3371300
2015-07-23,97.000000,97.370003,96.459999,96.870003,87.308296,2742900
2015-07-24,96.669998,96.889999,96.089996,96.180000,86.686401,3631700
2015-07-27,96.029999,96.419998,95.330002,95.660004,86.217720,4783400
2015-07-28,96.230003,96.230003,95.639999,96.110001,86.623314,4937100
2015-07-29,96.180000,96.769997,96.050003,96.529999,87.001854,3851100
2015-07-30,96.180000,96.879997,96.150002,96.629997,87.091988,3380700
2015-07-31,97.169998,97.169998,96.199997,96.349998,86.839607,5049600
2015-08-03,96.190002,97.480003,96.169998,97.449997,87.831047,3711100
2015-08-04,97.300003,98.000000,97.180000,97.809998,88.155510,3955000
2015-08-05,98.019997,99.349998,97.889999,99.190002,89.399300,4320400
2015-08-06,99.660004,100.610001,99.099998,99.150002,89.363235,6224000
2015-08-07,99.010002,99.449997,98.720001,99.099998,89.318176,4608300
2015-08-10,99.519997,99.699997,98.889999,99.089996,89.309151,4753700
2015-08-11,98.599998,98.750000,98.150002,98.620003,88.885567,3500700
2015-08-12,98.040001,98.430000,97.000000,98.379997,88.669243,3743300
2015-08-13,98.400002,99.230003,98.029999,98.790001,89.038780,4190600
2015-08-14,98.830002,99.269997,98.699997,99.230003,89.435341,3375600
2015-08-17,98.820000,100.089996,98.750000,99.860001,90.003166,3253100
2015-08-18,99.500000,100.419998,99.500000,99.769997,89.922035,4578500
2015-08-19,99.379997,99.680000,98.639999,98.989998,89.219040,3903500
2015-08-20,98.309998,98.599998,97.980003,97.980003,88.308723,3956800
2015-08-21,97.199997,97.599998,96.099998,96.250000,86.749474,7514400
2015-08-24,91.580002,92.330002,76.480003,91.830002,82.765778,13366900
2015-08-25,94.139999,94.139999,89.550003,89.639999,80.791946,8258100
2015-08-26,91.720001,92.629997,89.690002,92.489998,83.360626,7614100
2015-08-27,93.500000,93.989998,91.860001,93.599998,84.361061,6690000
2015-08-28,93.000000,93.839996,92.779999,93.529999,84.297974,6002300
2015-08-31,92.940002,93.330002,92.639999,92.930000,83.757195,5260500
2015-09-01,91.120003,92.160004,90.879997,91.330002,82.315132,8367800
2015-09-02,91.379997,92.160004,90.870003,91.639999,83.234756,5935400
2015-09-03,92.000000,92.750000,91.879997,92.129997,83.679832,3774100
2015-09-04,91.000000,91.540001,90.639999,90.919998,82.580788,5653600
2015-09-08,91.930000,92.400002,91.580002,92.370003,83.897820,3638200
2015-09-09,93.040001,93.080002,90.500000,90.830002,82.499054,4443700
2015-09-10,90.500000,91.699997,90.430000,91.059998,82.707962,3928100
2015-09-11,90.919998,91.639999,90.690002,91.620003,83.216606,4062600
2015-09-14,91.620003,91.639999,90.989998,91.199997,82.835114,4383600
2015-09-15,91.669998,92.339996,91.150002,92.059998,83.616226,3699300
2015-09-16,92.349998,93.320000,92.150002,93.070000,84.533600,4152000
2015-09-17,93.309998,94.370003,92.610001,93.370003,84.806084,5300800
2015-09-18,92.190002,93.629997,91.790001,93.050003,84.515427,9545300
2015-09-21,93.320000,94.269997,93.230003,93.709999,85.114891,3654000
2015-09-22,92.989998,93.080002,91.949997,92.370003,83.897820,4547900
2015-09-23,92.269997,92.699997,91.860001,92.400002,83.925041,3401600
2015-09-24,91.889999,92.860001,91.449997,92.470001,83.988625,4064000
2015-09-25,92.940002,94.180000,92.669998,93.470001,84.896904,4897200
2015-09-28,92.970001,93.650002,92.199997,92.470001,83.988625,4659200
2015-09-29,92.550003,93.360001,92.309998,93.040001,84.506348,5632200
2015-09-30,94.059998,94.400002,93.529999,94.300003,85.650780,5810900
2015-10-01,94.199997,94.500000,93.129997,93.849998,85.242050,5061800
2015-10-02,93.169998,94.220001,92.529999,94.160004,85.523628,5163700
2015-10-05,94.910004,95.980003,94.589996,95.809998,87.022278,5700200
2015-10-06,97.959999,98.000000,96.730003,97.070000,88.166718,7094300
2015-10-07,97.190002,98.989998,97.080002,98.519997,89.483727,6528200
2015-10-08,97.599998,99.010002,97.599998,98.970001,89.892448,4683300
2015-10-09,98.900002,99.620003,98.809998,99.470001,90.346596,5607000
2015-10-12,98.949997,100.099998,98.690002,99.139999,90.046860,4581300
2015-10-13,98.959999,99.160004,97.889999,97.919998,88.938759,5989400
2015-10-14,97.769997,98.209999,97.410004,97.489998,88.548187,4238400
2015-10-15,98.110001,98.489998,97.430000,98.279999,89.265739,5763900
2015-10-16,98.849998,99.809998,98.300003,99.699997,90.555489,5550800
2015-10-19,99.699997,100.269997,99.519997,100.180000,90.991463,4902700
2015-10-20,99.949997,100.389999,99.669998,100.269997,91.073204,3564000
2015-10-21,99.900002,100.900002,99.739998,100.250000,91.055038,4332000
2015-10-22,100.669998,103.379997,100.330002,103.080002,93.625488,5934800
2015-10-23,103.320000,103.440002,101.930000,102.430000,93.035110,5015800
2015-10-26,102.389999,102.809998,101.849998,102.540001,93.134995,3770700
2015-10-27,102.129997,103.199997,102.010002,102.940002,93.498322,3995700
2015-10-28,103.110001,103.199997,101.480003,102.739998,93.316673,5164800
2015-10-29,102.089996,103.099998,101.900002,102.800003,93.371178,2953100
2015-10-30,102.629997,103.239998,102.190002,102.190002,92.817116,5425800
2015-11-02,102.139999,102.580002,101.099998,101.400002,92.099564,5007300
2015-11-03,101.160004,101.209999,99.830002,100.919998,91.663597,4174900
2015-11-04,100.889999,101.339996,100.400002,100.620003,91.391106,3315400
2015-11-05,100.620003,100.940002,100.190002,100.610001,91.382027,2834100
2015-11-06,100.070000,100.290001,99.150002,99.720001,90.573662,4660400
2015-11-09,99.480003,99.599998,98.230003,98.879997,89.810692,3959900
2015-11-10,98.500000,99.220001,98.379997,98.830002,89.765289,3367800
2015-11-11,99.279999,99.959999,99.089996,99.430000,90.310265,3147300
2015-11-12,98.900002,99.330002,98.339996,98.370003,89.347488,3892800
2015-11-13,98.190002,98.949997,97.809998,98.040001,89.047752,4001000
2015-11-16,97.750000,99.660004,97.650002,99.559998,90.428329,3446600
2015-11-17,99.540001,99.879997,98.559998,98.830002,89.765289,3446500
2015-11-18,99.070000,100.379997,98.910004,100.269997,91.073204,4074200
2015-11-19,100.519997,101.370003,100.500000,100.930000,91.672668,3496000
2015-11-20,101.519997,102.150002,100.000000,100.099998,90.918808,4800600
2015-11-23,100.480003,101.690002,100.239998,100.849998,91.600014,4604000
2015-11-24,100.330002,101.000000,100.000000,100.629997,91.400185,3405400
2015-11-25,100.529999,100.940002,100.449997,100.500000,91.282120,2906000
2015-11-27,100.089996,100.989998,100.089996,100.739998,91.500099,1463400
2015-11-30,100.739998,100.970001,100.129997,100.160004,90.973297,6083300
2015-12-01,100.110001,101.120003,100.110001,101.059998,91.790756,4473200
2015-12-02,100.360001,100.379997,99.360001,99.480003,90.988167,4361600
2015-12-03,99.620003,99.989998,98.760002,99.089996,90.631454,5661000
2015-12-04,99.199997,101.370003,98.540001,101.059998,92.433289,6422700
2015-12-07,101.029999,101.510002,100.120003,100.669998,92.076576,3408000
2015-12-08,100.400002,100.809998,99.629997,100.169998,91.619255,3385200
2015-12-09,99.529999,100.959999,98.989998,99.129997,90.668030,4195100
2015-12-10,99.309998,99.599998,98.449997,98.900002,90.457672,3925600
2015-12-11,97.930000,98.790001,97.540001,97.779999,89.433266,5429700
2015-12-14,98.089996,98.620003,96.809998,97.949997,89.588760,6594700
2015-12-15,98.529999,99.669998,98.199997,99.389999,90.905830,5554200
2015-12-16,99.839996,101.330002,99.650002,101.080002,92.451584,4994500
2015-12-17,101.000000,101.110001,100.169998,100.199997,91.646690,4303600
2015-12-18,99.750000,99.760002,97.879997,97.900002,89.543022,6926800
2015-12-21,98.389999,98.639999,97.769997,98.620003,90.201576,3089100
2015-12-22,98.910004,100.070000,98.629997,99.800003,91.280853,3715500
2015-12-23,100.199997,100.760002,100.019997,100.639999,92.049133,2929600
2015-12-24,100.510002,100.970001,100.110001,100.540001,91.957680,1044300
2015-12-28,100.389999,100.790001,100.139999,100.680000,92.085724,4017700
2015-12-29,101.110001,101.699997,100.769997,101.449997,92.789993,2362200
2015-12-30,101.510002,101.540001,100.980003,101.150002,92.515610,2333000
2015-12-31,100.529999,100.910004,99.809998,99.919998,91.390587,3041500
2016-01-04,98.559998,99.000000,97.800003,98.769997,90.338760,6689000
2016-01-05,98.809998,99.849998,98.709999,99.449997,90.960716,4893800
2016-01-06,98.379997,99.760002,98.120003,99.480003,90.988167,5483400
2016-01-07,98.459999,98.980003,97.209999,97.570000,89.241219,5440000
2016-01-08,97.830002,98.629997,96.940002,97.209999,88.911926,4853500
2016-01-11,97.339996,97.919998,96.870003,97.440002,89.122307,5622000
2016-01-12,98.410004,98.410004,97.139999,97.620003,89.286926,5185800
2016-01-13,97.470001,97.940002,96.349998,96.500000,88.262535,5161500
2016-01-14,96.400002,97.080002,95.660004,95.809998,87.631424,6592500
2016-01-15,93.949997,94.559998,93.300003,93.930000,85.911919,8229400
2016-01-19,94.660004,96.099998,94.459999,95.769997,87.594856,6828900
2016-01-20,94.849998,95.419998,93.300003,93.769997,85.765587,7558100
2016-01-21,94.040001,94.669998,93.250000,94.470001,86.405807,6076300
2016-01-22,94.879997,96.290001,94.120003,95.849998,87.668030,6946600
2016-01-25,95.919998,96.830002,95.529999,95.940002,87.750343,4407000
2016-01-26,95.910004,97.220001,95.769997,96.320000,88.097893,3729900
2016-01-27,95.889999,97.279999,95.559998,95.940002,87.750343,5795100
2016-01-28,96.430000,97.900002,96.080002,97.449997,89.131439,5169900
2016-01-29,97.870003,99.300003,97.580002,99.300003,90.823524,7340600
2016-02-01,98.529999,99.400002,97.519997,99.029999,90.576569,3648100
2016-02-02,98.650002,98.680000,98.000000,98.209999,89.826569,3809900
2016-02-03,98.870003,99.029999,97.599998,98.720001,90.293030,5146000
2016-02-04,98.680000,98.900002,97.000000,97.389999,89.076569,5088600
2016-02-05,97.639999,97.709999,96.800003,97.320000,89.012535,5574800
2016-02-08,97.139999,97.889999,96.400002,97.519997,89.195473,4729500
2016-02-09,96.690002,98.790001,96.440002,98.279999,89.890594,4826400
2016-02-10,98.209999,98.730003,97.519997,97.620003,89.286926,4505500
2016-02-11,96.389999,97.940002,96.089996,96.900002,88.628403,5898500
2016-02-12,96.400002,98.589996,96.150002,98.489998,90.082680,5110600
2016-02-16,99.199997,99.300003,98.099998,98.599998,90.183281,4709700
2016-02-17,99.000000,99.889999,98.800003,99.550003,91.052185,4493200
2016-02-18,99.570000,99.970001,98.970001,99.620003,91.116203,3729100
2016-02-19,98.459999,100.190002,98.459999,99.580002,91.079628,4531300
2016-02-22,99.980003,100.559998,99.580002,99.870003,91.344864,4731500
2016-02-23,99.889999,100.000000,99.379997,99.540001,91.043045,3721100
2016-02-24,99.000000,99.750000,98.400002,99.680000,91.171097,5691200
2016-02-25,99.830002,100.699997,99.830002,100.669998,92.076576,4493300
2016-02-26,100.489998,100.540001,97.839996,98.360001,89.963776,6506200
2016-02-29,98.360001,99.019997,97.790001,97.820000,89.469856,5955300
2016-03-01,98.500000,99.139999,98.050003,99.089996,90.631454,5160200
2016-03-02,98.050003,98.360001,97.540001,98.330002,90.578491,4180000
2016-03-03,98.349998,99.230003,98.019997,99.160004,91.343056,4837800
2016-03-04,98.809998,100.000000,98.570000,100.000000,92.116837,7067200
2016-03-07,99.250000,99.599998,98.970001,99.250000,91.425964,5967100
2016-03-08,98.970001,100.120003,98.750000,99.739998,91.877335,4871200
2016-03-09,100.000000,100.580002,99.739998,100.199997,92.301064,5085000
2016-03-10,100.449997,100.879997,100.019997,100.779999,92.835350,5490000
2016-03-11,101.000000,101.410004,100.589996,101.309998,93.323563,5912400
2016-03-14,101.129997,101.449997,100.620003,100.650002,92.715591,3580500
2016-03-15,100.269997,101.570000,100.250000,101.150002,93.176170,3860300
2016-03-16,100.940002,101.339996,100.010002,100.830002,92.881401,4176600
2016-03-17,101.000000,102.120003,100.790001,101.870003,93.839417,5635800
2016-03-18,101.669998,101.940002,101.010002,101.290001,93.305145,7273900
2016-03-21,100.910004,102.120003,100.320000,101.540001,93.535431,4420300
2016-03-22,101.279999,101.510002,100.430000,100.769997,92.826126,3457600
2016-03-23,100.690002,101.760002,100.529999,100.809998,92.862968,3407900
2016-03-24,100.699997,100.919998,100.150002,100.680000,92.743225,3183100
2016-03-28,100.959999,101.610001,100.820000,100.980003,93.019577,3785500
2016-03-29,101.050003,101.639999,100.760002,101.370003,93.378830,3335100
2016-03-30,101.459999,102.889999,101.410004,102.690002,94.594788,4673600
2016-03-31,102.540001,103.449997,102.300003,102.480003,94.401329,5367700
2016-04-01,101.970001,103.889999,101.949997,103.779999,95.598854,4128600
2016-04-04,103.800003,103.949997,102.769997,103.820000,95.635696,4220400
2016-04-05,103.769997,103.930000,102.870003,103.099998,94.972450,3589200
2016-04-06,103.250000,103.989998,102.870003,103.919998,95.727806,4172900
2016-04-07,103.339996,103.970001,103.029999,103.599998,95.433037,6220900
2016-04-08,103.989998,105.250000,103.900002,105.080002,96.796371,6154500
2016-04-11,105.160004,105.769997,104.160004,104.300003,96.077850,5354000
2016-04-12,104.169998,105.120003,104.120003,104.910004,96.639771,3734200
2016-04-13,105.339996,105.349998,103.760002,104.120003,95.912041,3802400
2016-04-14,102.730003,104.089996,102.709999,103.160004,95.027718,5382900
2016-04-15,103.239998,103.809998,103.010002,103.769997,95.589645,4553500
2016-04-18,104.160004,104.589996,103.500000,103.720001,95.543571,7631400
2016-04-19,103.809998,104.610001,103.760002,104.320000,96.096275,4996200
2016-04-20,104.230003,104.349998,102.389999,102.440002,94.364471,4778000
